2020-04-01 21:04:53 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:55 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:55 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:56 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:56 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:58 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:58 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:04:59 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:04:59 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:05:01 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:05:01 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:05:02 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:05:02 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:05:04 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:05:04 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:05:05 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:05:05 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:05:07 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:05:07 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:05:08 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:05:08 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:05:10 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:05:10 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:05:11 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:05:11 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:05:13 Recipe: bitcoinker, is_alive: True, wait_status:True
2020-04-01 21:05:13 Recipe: bonusbitcoin, is_alive: True, wait_status:True
2020-04-01 21:05:14 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:14 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:16 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:16 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:17 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:17 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:19 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:19 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:20 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:20 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:22 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:22 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:23 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:23 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:25 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:25 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:26 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:26 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:28 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:28 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:29 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:29 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:31 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:31 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:32 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:32 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:34 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:34 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:35 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:35 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:37 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:37 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:38 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:38 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:40 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:40 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:41 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:41 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:43 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:43 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:44 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:44 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:46 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:46 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:47 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:47 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:49 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:49 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:50 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:50 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:52 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:52 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:53 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:53 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:55 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:55 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:56 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:56 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:58 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:58 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:05:59 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:05:59 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:06:01 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:06:01 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:06:02 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:06:02 Recipe: bonusbitcoin, is_alive: True, wait_status:False
2020-04-01 21:06:04 Recipe: bitcoinker, is_alive: True, wait_status:False
2020-04-01 21:06:04 Recipe: bonusbitcoin, is_alive: True, wait_status:False
